english,urdu
I watch books tomorrow.,میں کتابیں کل دیکھتا ہوں۔
I watch books every day.,میں کتابیں ہر روز دیکھتا ہوں۔
I watch books now.,میں کتابیں ابھی دیکھتا ہوں۔
I watch books at home.,میں کتابیں گھر پر دیکھتا ہوں۔
I watch music today.,میں موسیقی آج دیکھتا ہوں۔
I watch music tomorrow.,میں موسیقی کل دیکھتا ہوں۔
I watch music every day.,میں موسیقی ہر روز دیکھتا ہوں۔
I watch music now.,میں موسیقی ابھی دیکھتا ہوں۔
I watch music at home.,میں موسیقی گھر پر دیکھتا ہوں۔
I watch football today.,میں فٹبال آج دیکھتا ہوں۔
I watch football tomorrow.,میں فٹبال کل دیکھتا ہوں۔
I watch football every day.,میں فٹبال ہر روز دیکھتا ہوں۔
I watch football now.,میں فٹبال ابھی دیکھتا ہوں۔
I watch football at home.,میں فٹبال گھر پر دیکھتا ہوں۔
I watch coffee today.,میں کافی آج دیکھتا ہوں۔
I watch coffee tomorrow.,میں کافی کل دیکھتا ہوں۔
I watch coffee every day.,میں کافی ہر روز دیکھتا ہوں۔
I watch coffee now.,میں کافی ابھی دیکھتا ہوں۔
I watch coffee at home.,میں کافی گھر پر دیکھتا ہوں۔
I watch tea today.,میں چائے آج دیکھتا ہوں۔
I watch tea tomorrow.,میں چائے کل دیکھتا ہوں۔
I watch tea every day.,میں چائے ہر روز دیکھتا ہوں۔
I watch tea now.,میں چائے ابھی دیکھتا ہوں۔
I watch tea at home.,میں چائے گھر پر دیکھتا ہوں۔
I watch cars today.,میں گاڑیاں آج دیکھتا ہوں۔
I watch cars tomorrow.,میں گاڑیاں کل دیکھتا ہوں۔
I watch cars every day.,میں گاڑیاں ہر روز دیکھتا ہوں۔
I watch cars now.,میں گاڑیاں ابھی دیکھتا ہوں۔
I watch cars at home.,میں گاڑیاں گھر پر دیکھتا ہوں۔
I watch movies today.,میں فلمیں آج دیکھتا ہوں۔
I watch movies tomorrow.,میں فلمیں کل دیکھتا ہوں۔
I watch movies every day.,میں فلمیں ہر روز دیکھتا ہوں۔
I watch movies now.,میں فلمیں ابھی دیکھتا ہوں۔
I watch movies at home.,میں فلمیں گھر پر دیکھتا ہوں۔
I watch cats today.,میں بلیاں آج دیکھتا ہوں۔
I watch cats tomorrow.,میں بلیاں کل دیکھتا ہوں۔
I watch cats every day.,میں بلیاں ہر روز دیکھتا ہوں۔
I watch cats now.,میں بلیاں ابھی دیکھتا ہوں۔
I watch cats at home.,میں بلیاں گھر پر دیکھتا ہوں۔
I watch dogs today.,میں کتے آج دیکھتا ہوں۔
I watch dogs tomorrow.,میں کتے کل دیکھتا ہوں۔
I watch dogs every day.,میں کتے ہر روز دیکھتا ہوں۔
I watch dogs now.,میں کتے ابھی دیکھتا ہوں۔
I watch dogs at home.,میں کتے گھر پر دیکھتا ہوں۔
You eat apples today.,تم سیب آج کھاتا ہوں۔
You eat apples tomorrow.,تم سیب کل کھاتا ہوں۔
You eat apples every day.,تم سیب ہر روز کھاتا ہوں۔
You eat apples now.,تم سیب ابھی کھاتا ہوں۔
You eat apples at home.,تم سیب گھر پر کھاتا ہوں۔
You eat books today.,تم کتابیں آج کھاتا ہوں۔
You eat books tomorrow.,تم کتابیں کل کھاتا ہوں۔
You eat books every day.,تم کتابیں ہر روز کھاتا ہوں۔
You eat books now.,تم کتابیں ابھی کھاتا ہوں۔
You eat books at home.,تم کتابیں گھر پر کھاتا ہوں۔
You eat music today.,تم موسیقی آج کھاتا ہوں۔
You eat music tomorrow.,تم موسیقی کل کھاتا ہوں۔
You eat music every day.,تم موسیقی ہر روز کھاتا ہوں۔
You eat music now.,تم موسیقی ابھی کھاتا ہوں۔
You eat music at home.,تم موسیقی گھر پر کھاتا ہوں۔
You eat football today.,تم فٹبال آج کھاتا ہوں۔
You eat football tomorrow.,تم فٹبال کل کھاتا ہوں۔
You eat football every day.,تم فٹبال ہر روز کھاتا ہوں۔
You eat football now.,تم فٹبال ابھی کھاتا ہوں۔
You eat football at home.,تم فٹبال گھر پر کھاتا ہوں۔
You eat coffee today.,تم کافی آج کھاتا ہوں۔
You eat coffee tomorrow.,تم کافی کل کھاتا ہوں۔
You eat coffee every day.,تم کافی ہر روز کھاتا ہوں۔
You eat coffee now.,تم کافی ابھی کھاتا ہوں۔
You eat coffee at home.,تم کافی گھر پر کھاتا ہوں۔
You eat tea today.,تم چائے آج کھاتا ہوں۔
You eat tea tomorrow.,تم چائے کل کھاتا ہوں۔
You eat tea every day.,تم چائے ہر روز کھاتا ہوں۔
You eat tea now.,تم چائے ابھی کھاتا ہوں۔
You eat tea at home.,تم چائے گھر پر کھاتا ہوں۔
You eat cars today.,تم گاڑیاں آج کھاتا ہوں۔
You eat cars tomorrow.,تم گاڑیاں کل کھاتا ہوں۔
You eat cars every day.,تم گاڑیاں ہر روز کھاتا ہوں۔
You eat cars now.,تم گاڑیاں ابھی کھاتا ہوں۔
You eat cars at home.,تم گاڑیاں گھر پر کھاتا ہوں۔
You eat movies today.,تم فلمیں آج کھاتا ہوں۔
You eat movies tomorrow.,تم فلمیں کل کھاتا ہوں۔
You eat movies every day.,تم فلمیں ہر روز کھاتا ہوں۔
You eat movies now.,تم فلمیں ابھی کھاتا ہوں۔
You eat movies at home.,تم فلمیں گھر پر کھاتا ہوں۔
You eat cats today.,تم بلیاں آج کھاتا ہوں۔
You eat cats tomorrow.,تم بلیاں کل کھاتا ہوں۔
You eat cats every day.,تم بلیاں ہر روز کھاتا ہوں۔
You eat cats now.,تم بلیاں ابھی کھاتا ہوں۔
You eat cats at home.,تم بلیاں گھر پر کھاتا ہوں۔
You eat dogs today.,تم کتے آج کھاتا ہوں۔
You eat dogs tomorrow.,تم کتے کل کھاتا ہوں۔
You eat dogs every day.,تم کتے ہر روز کھاتا ہوں۔
You eat dogs now.,تم کتے ابھی کھاتا ہوں۔
You eat dogs at home.,تم کتے گھر پر کھاتا ہوں۔
You like apples today.,تم سیب آج پسند کرتا ہوں۔
You like apples tomorrow.,تم سیب کل پسند کرتا ہوں۔
You like apples every day.,تم سیب ہر روز پسند کرتا ہوں۔
You like apples now.,تم سیب ابھی پسند کرتا ہوں۔
You like apples at home.,تم سیب گھر پر پسند کرتا ہوں۔
You like books today.,تم کتابیں آج پسند کرتا ہوں۔
You like books tomorrow.,تم کتابیں کل پسند کرتا ہوں۔
You like books every day.,تم کتابیں ہر روز پسند کرتا ہوں۔
You like books now.,تم کتابیں ابھی پسند کرتا ہوں۔
You like books at home.,تم کتابیں گھر پر پسند کرتا ہوں۔
You like music today.,تم موسیقی آج پسند کرتا ہوں۔
You like music tomorrow.,تم موسیقی کل پسند کرتا ہوں۔
You like music every day.,تم موسیقی ہر روز پسند کرتا ہوں۔
You like music now.,تم موسیقی ابھی پسند کرتا ہوں۔
You like music at home.,تم موسیقی گھر پر پسند کرتا ہوں۔
You like football today.,تم فٹبال آج پسند کرتا ہوں۔
You like football tomorrow.,تم فٹبال کل پسند کرتا ہوں۔
You like football every day.,تم فٹبال ہر روز پسند کرتا ہوں۔
You like football now.,تم فٹبال ابھی پسند کرتا ہوں۔
You like football at home.,تم فٹبال گھر پر پسند کرتا ہوں۔
You like coffee today.,تم کافی آج پسند کرتا ہوں۔
You like coffee tomorrow.,تم کافی کل پسند کرتا ہوں۔
You like coffee every day.,تم کافی ہر روز پسند کرتا ہوں۔
You like coffee now.,تم کافی ابھی پسند کرتا ہوں۔
You like coffee at home.,تم کافی گھر پر پسند کرتا ہوں۔
You like tea today.,تم چائے آج پسند کرتا ہوں۔
You like tea tomorrow.,تم چائے کل پسند کرتا ہوں۔
You like tea every day.,تم چائے ہر روز پسند کرتا ہوں۔
You like tea now.,تم چائے ابھی پسند کرتا ہوں۔
You like tea at home.,تم چائے گھر پر پسند کرتا ہوں۔
You like cars today.,تم گاڑیاں آج پسند کرتا ہوں۔
You like cars tomorrow.,تم گاڑیاں کل پسند کرتا ہوں۔
You like cars every day.,تم گاڑیاں ہر روز پسند کرتا ہوں۔
You like cars now.,تم گاڑیاں ابھی پسند کرتا ہوں۔
You like cars at home.,تم گاڑیاں گھر پر پسند کرتا ہوں۔
You like movies today.,تم فلمیں آج پسند کرتا ہوں۔
You like movies tomorrow.,تم فلمیں کل پسند کرتا ہوں۔
You like movies every day.,تم فلمیں ہر روز پسند کرتا ہوں۔
You like movies now.,تم فلمیں ابھی پسند کرتا ہوں۔
You like movies at home.,تم فلمیں گھر پر پسند کرتا ہوں۔
You like cats today.,تم بلیاں آج پسند کرتا ہوں۔
You like cats tomorrow.,تم بلیاں کل پسند کرتا ہوں۔
You like cats every day.,تم بلیاں ہر روز پسند کرتا ہوں۔
You like cats now.,تم بلیاں ابھی پسند کرتا ہوں۔
You like cats at home.,تم بلیاں گھر پر پسند کرتا ہوں۔
You like dogs today.,تم کتے آج پسند کرتا ہوں۔
You like dogs tomorrow.,تم کتے کل پسند کرتا ہوں۔
You like dogs every day.,تم کتے ہر روز پسند کرتا ہوں۔
You like dogs now.,تم کتے ابھی پسند کرتا ہوں۔
You like dogs at home.,تم کتے گھر پر پسند کرتا ہوں۔
You see apples today.,تم سیب آج دیکھتا ہوں۔
You see apples tomorrow.,تم سیب کل دیکھتا ہوں۔
You see apples every day.,تم سیب ہر روز دیکھتا ہوں۔
You see apples now.,تم سیب ابھی دیکھتا ہوں۔
You see apples at home.,تم سیب گھر پر دیکھتا ہوں۔
You see books today.,تم کتابیں آج دیکھتا ہوں۔
You see books tomorrow.,تم کتابیں کل دیکھتا ہوں۔
You see books every day.,تم کتابیں ہر روز دیکھتا ہوں۔
You see books now.,تم کتابیں ابھی دیکھتا ہوں۔
You see books at home.,تم کتابیں گھر پر دیکھتا ہوں۔
You see music today.,تم موسیقی آج دیکھتا ہوں۔
You see music tomorrow.,تم موسیقی کل دیکھتا ہوں۔
You see music every day.,تم موسیقی ہر روز دیکھتا ہوں۔
You see music now.,تم موسیقی ابھی دیکھتا ہوں۔
You see music at home.,تم موسیقی گھر پر دیکھتا ہوں۔
You see football today.,تم فٹبال آج دیکھتا ہوں۔
You see football tomorrow.,تم فٹبال کل دیکھتا ہوں۔
You see football every day.,تم فٹبال ہر روز دیکھتا ہوں۔
You see football now.,تم فٹبال ابھی دیکھتا ہوں۔
You see football at home.,تم فٹبال گھر پر دیکھتا ہوں۔
You see coffee today.,تم کافی آج دیکھتا ہوں۔
You see coffee tomorrow.,تم کافی کل دیکھتا ہوں۔
You see coffee every day.,تم کافی ہر روز دیکھتا ہوں۔
You see coffee now.,تم کافی ابھی دیکھتا ہوں۔
You see coffee at home.,تم کافی گھر پر دیکھتا ہوں۔
You see tea today.,تم چائے آج دیکھتا ہوں۔
You see tea tomorrow.,تم چائے کل دیکھتا ہوں۔
You see tea every day.,تم چائے ہر روز دیکھتا ہوں۔
You see tea now.,تم چائے ابھی دیکھتا ہوں۔
You see tea at home.,تم چائے گھر پر دیکھتا ہوں۔
You see cars today.,تم گاڑیاں آج دیکھتا ہوں۔
You see cars tomorrow.,تم گاڑیاں کل دیکھتا ہوں۔
You see cars every day.,تم گاڑیاں ہر روز دیکھتا ہوں۔
You see cars now.,تم گاڑیاں ابھی دیکھتا ہوں۔
You see cars at home.,تم گاڑیاں گھر پر دیکھتا ہوں۔
You see movies today.,تم فلمیں آج دیکھتا ہوں۔
You see movies tomorrow.,تم فلمیں کل دیکھتا ہوں۔
You see movies every day.,تم فلمیں ہر روز دیکھتا ہوں۔
You see movies now.,تم فلمیں ابھی دیکھتا ہوں۔
You see movies at home.,تم فلمیں گھر پر دیکھتا ہوں۔
You see cats today.,تم بلیاں آج دیکھتا ہوں۔
You see cats tomorrow.,تم بلیاں کل دیکھتا ہوں۔
You see cats every day.,تم بلیاں ہر روز دیکھتا ہوں۔
You see cats now.,تم بلیاں ابھی دیکھتا ہوں۔
You see cats at home.,تم بلیاں گھر پر دیکھتا ہوں۔
You see dogs today.,تم کتے آج دیکھتا ہوں۔
You see dogs tomorrow.,تم کتے کل دیکھتا ہوں۔
You see dogs every day.,تم کتے ہر روز دیکھتا ہوں۔
You see dogs now.,تم کتے ابھی دیکھتا ہوں۔
You see dogs at home.,تم کتے گھر پر دیکھتا ہوں۔
You have apples today.,تم سیب آج رکھتا ہوں۔
You have apples tomorrow.,تم سیب کل رکھتا ہوں۔
